t,xt,yt
2410.341,0,-8.413125786573994e-05
2410.39,0,-8.377704147296972e-05
2410.492,0,-8.280965363698576e-05
2410.599,0,-8.187447840311577e-05
2410.703,0,-8.089800861888299e-05
2410.814,0,-7.987927437197402e-05
2410.916,0,-7.891492685450819e-05
2411.021,0,-7.799103712334839e-05
2411.136,0,-8.72836517566665e-05
2411.241,0,-8.893523842022131e-05
2411.349,0,-8.742092368239518e-05
2411.453,0,-8.596377946577014e-05
2411.555,0,-9.54572529204353e-05
2411.685,0,-9.71559775305454e-05
2411.787,0,-9.546844593034216e-05
2411.889,0,-9.452560935821651e-05
2411.99,0,-9.354310606038547e-05
2412.091,0,-9.372858953952335e-05
2412.194,0,-9.849787373755814e-05
2412.322,0,-9.71355334863919e-05
2412.457,0,-9.572166067300362e-05
2412.561,0,-9.494985179725124e-05
2412.674,0,-9.396854965009633e-05
2412.776,0,-9.475070523317728e-05
2412.877,0,-0.0001005965426766047
2412.981,0,-9.95589139960147e-05
2413.109,0,-0.00010295179291375718
2413.228,0,-0.00010221944509083251
2413.332,0,-0.00010124266684560634
2413.438,0,-9.992973650249118e-05
2413.539,0.3,-9.853671913176939e-05
2413.642,0.3,0.012994928768111
2413.745,0.3,0.0432921232999089
2413.846,0.3,0.07235612515021698
2413.968,0.3,0.11302598898680837
2414.062,0.3,0.13627343699255554
2414.179,0.3,0.1711459184684535
2414.283,0.3,0.19672008577434244
2414.382,0.3,0.22665589266103012
2414.497,0.3,0.25515246588376783
2414.611,0.3,0.29906291266431145
2414.715,0.3,0.3237904088627792
2414.822,0.3,0.3514230865072596
2414.928,0.3,0.3863293807245812
2415.036,0.3,0.41543945669433563
2415.137,0.3,0.4500640734223996
2415.241,0.3,0.4678125987934563
2415.356,0.3,0.5143894540593429
2415.478,0.3,0.5435108550572664
2415.586,0.3,0.5758386687620866
2415.704,0.3,0.6134020828267193
2415.824,0.3,0.6416491437389622
2415.949,0.3,0.6891156432707521
2416.055,0.3,0.7106630290193592
2416.163,0.3,0.7473524882198688
2416.3,0.3,0.788127940914321
2416.404,0.3,0.8172558988695132
2416.532,0.3,0.8580251266727215
2416.633,0.3,0.8856819730483669
2416.733,0.3,0.9156710844951234
2416.835,0.3,0.9270262123380525
2416.937,0.3,0.974484635624466
2417.047,0.3,1.00360204915687
2417.148,0.3,1.021363994364071
2417.253,0.3,1.0627178761626979
2417.379,0.3,1.102619506448083
2417.484,0.3,1.1276606658019623
2417.607,0.3,1.164354898954799
2417.71,0.3,1.2004755184215021
2417.82,0.3,1.217660171956526
2417.933,0.3,1.2590259124075067
2418.034,0.3,1.2948583428658187
2418.138,0.3,1.323993327047093
2418.254,0.3,1.341475358308282
2418.364,0.3,1.3880984490077042
2418.465,0.3,1.4172386561277346
2418.566,0.3,1.4463833138240105
2418.668,0.3,1.4813586473767428
2418.768,0.3,1.5067170655055708
2418.879,0.3,1.5370299325357826
2419.018,0.3,1.5696763885691243
2419.129,0.3,1.6154514993028104
2419.244,0.3,1.642851902044847
2419.345,0.3,1.6734578238001727
2419.446,0.3,1.7028984082852117
2419.55,0.3,1.7358364435884146
2419.659,0.3,1.7670370426961146
2419.764,0.3,1.7959081140797901
2419.877,0.3,1.8291556080260023
2419.994,0.3,1.863862217092535
2420.082,0.3,1.8851532941438423
2420.205,0.3,1.924525651226436
2420.307,0.3,1.954565265033462
2420.421,0.3,1.977029415942043
2420.516,0.3,2.0178773833535253
2420.618,0.3,2.0307149467051455
2420.721,0.3,2.0736056363167217
2420.828,0.3,2.105992306791056
2420.929,0.3,2.140130505523457
2421.074,0.3,2.1696062584928044
2421.177,0.3,2.2072548563665393
2421.278,0.3,2.2358571131981675
2421.378,0.3,2.2656264348188744
2421.492,0.3,2.294228888419364
2421.652,0.3,2.3330483487252467
2421.848,0.3,2.4089288741320405
2421.951,0.3,2.432882114284414
2422.057,0.3,2.460046894353649
2422.16,0.3,2.4965672386577094
2422.26,0.3,2.525770606839369
2422.367,0.3,2.5602378368212326
2422.468,0.3,2.5865246462876224
2422.587,0.3,2.6250820571763955
2422.761,0.3,2.647277693627258
2422.9,0.3,2.701015643641864
2423.028,0.3,2.75358867579097
2423.134,0.3,2.7623536128285773
2423.245,0.3,2.812006115151106
2423.357,0.3,2.847055776131217
2423.466,0.3,2.8745152997573955
2423.571,0.3,2.9054778782903417
2423.688,0.3,2.928845978466201
2423.812,0.3,2.966233968083116
2423.914,0.3,3.0106280123342404
2424.027,0.3,3.0345769090978574
2424.128,0.3,3.0728285220399942
2424.231,0.3,3.0996932067567666
2424.333,0.3,3.1332725022384014
2424.441,0.3,3.1624713551276327
2424.545,0.3,3.189619941794893
2424.656,0.3,3.226701114214044
2424.761,0.3,3.254150725135058
2424.9,0.3,3.2967854317038596
2425.01,0.3,3.326861975747915
2425.114,0.3,3.355465348077178
2425.217,0.3,3.3901573929280775
2425.32,0.3,3.4191418885168887
2425.424,0.3,3.44817011982033
2425.525,0.3,3.47739404571576
2425.626,0.3,3.506623189469726
2425.742,0.3,3.5417111606841383
2425.845,0.3,3.5709480577433497
2425.977,0.3,3.5943281505360103
2426.083,0.3,3.6352399807729157
2426.205,0.3,3.6735220584440604
2426.306,0.3,3.705378572637045
2426.416,0.3,3.73460645307918
2426.527,0.3,3.7705607957178886
2426.637,0.3,3.801798660279535
2426.742,0.3,3.8337072679594835
2426.84,0.3,3.8628213214788274
2426.975,0.3,3.874521529112779
2427.077,0.3,3.9277587471443134
2427.182,0.3,3.962325811557292
2427.28,0.3,3.9916130986397977
2427.382,0.3,4.020903871331776
2427.51,0.3,4.054270367272577
2427.651,0.3,4.079435871314241
2427.815,0.3,4.12037802264896
2427.92,0.3,4.178891329630477
2428.031,0.3,4.202257839635564
2428.144,0.3,4.2430298688365395
2428.275,0.3,4.2722546523854295
2428.377,0.3,4.3132400935626025
2428.491,0.3,4.336074756793379
2428.596,0.3,4.3776395193245845
2428.697,0.3,4.403398091005969
2428.8,0.3,4.435336555403377
2428.932,0.3,4.453268384294926
2429.044,0.3,4.50171416851097
2429.152,0.3,4.540968418899798
2429.254,0.3,4.57026351679043
2429.355,0.3,4.598843383076697
2429.59,0.3,4.669526120379642
2429.695,0.3,4.6929723357664965
2429.796,0.3,4.722305198801644
2429.903,0.3,4.757497041272665
2430.02,0.3,4.79268183911809
2430.15,0.3,4.833696995434699
2430.251,0.3,4.858627828129558
2430.36,0.3,4.8864690226118555
2430.468,0.3,4.92133480803553
2430.569,0.3,4.955323289870975
2430.675,0.3,4.978750252217171
2430.776,0.3,5.013301664092915
2430.876,0.3,5.0425751657303035
2430.985,0.3,5.07389721829162
2431.086,0.3,5.103162221866409
2431.186,0.3,5.132417419375577
2431.299,0.3,5.1673486369923465
2431.401,0.3,5.196220944875937
2431.512,0.3,5.227194575333258
2431.648,0.3,5.243015333130175
2431.752,0.3,5.295732563084187
2431.883,0.3,5.3318038339681495
2432.037,0.3,5.383653332299706
2432.139,0.3,5.4073906712060715
2432.24,0.3,5.4364029879783216
2432.342,0.3,5.465700095626668
2432.466,0.3,5.494990829653749
2432.568,0.15,5.535108912508301
2432.772,0.15,5.573342517841645
2432.885,0.15,5.582221612533035
2433.008,0.15,5.6088733176014935
2433.108,0.15,5.6189233231983104
2433.237,0.15,5.635463554082199
2433.35,0.15,5.65908668440085
2433.444,0.15,5.67090338029135
2433.542,0.15,5.685679228895887
2433.647,0.15,5.6983846683421016
2433.764,0.15,5.718167801574951
2433.871,0.15,5.7358943505507805
2434.035,0.15,5.75952371142579
2434.142,0.15,5.77162986514676
2434.244,0.15,5.789048856455085
2434.345,0.15,5.80381480437926
2434.444,0.15,5.818578234364393
2434.546,0.15,5.833339416953654
2434.646,0.15,5.848101609994285
2434.756,0.15,5.865819420913749
2434.867,0.15,5.878949067863014
2434.961,0.15,5.893259953237004
2435.062,0.15,5.910079386200787
2435.163,0.15,5.924830342536663
2435.27,0.15,5.937662541278872
2435.371,0.15,5.9566900251529615
2435.519,0.15,5.969966365580059
2435.619,0.15,5.990324508734799
2435.744,0.15,6.007434535594472
2435.837,0.15,6.024691799559685
2435.947,0.15,6.04283602021118
2436.052,0.15,6.055225105945109
2436.152,0.15,6.067026337083394
2436.25,0.15,6.086055341858939
2436.356,0.15,6.101838480585093
2436.452,0.15,6.114818189842412
2436.556,0.15,6.131349376914161
2436.664,0.15,6.146111169057134
2436.772,0.15,6.1630881788157605
2436.874,0.15,6.177703443728875
2436.977,0.15,6.192468142187
2437.08,0.15,6.207233991427004
2437.183,0.15,6.221774606467393
2437.284,0.15,6.235916528741637
2437.387,0.15,6.251583216856755
2437.562,0.15,6.278253668852132
2437.667,0.15,6.2841599905234915
2437.77,0.15,6.30637601535607
2437.952,0.15,6.322669967399916
2438.067,0.15,6.347351872057348
2438.209,0.15,6.370010560273814
2438.313,0.15,6.390737968358258
2438.414,0.15,6.403035127127046
2438.515,0.15,6.418145210313071
2438.645,0.15,6.426281275385097
2438.758,0.15,6.455844239130896
2438.865,0.15,6.470340867600347
2438.97,0.15,6.487487467362754
2439.089,0.15,6.499906443501065
2439.194,0.15,6.520889577118558
2439.296,0.15,6.534922005289016
2439.397,0.15,6.550133330837163
2439.562,0.15,6.5740530880769645
2439.664,0.15,6.5888118238784115
2439.771,0.15,6.603270963539854
2439.892,0.15,6.621272715197759
2439.987,0.15,6.638980435890692
2440.091,0.15,6.653741607979975
2440.197,0.15,6.662596199010635
2440.312,0.15,6.680310759061132
2440.416,0.15,6.697138971013461
2440.526,0.15,6.713376492325637
2440.626,0.15,6.728432843282747
2440.738,0.15,6.7452717048441935
2440.839,0.15,6.762260157874958
2440.942,0.15,6.775558782342636
2441.05,0.15,6.795325592036933
2441.154,0.15,6.8097607087144745
2441.262,0.15,6.824481873712751
2441.373,0.15,6.8390467780347235
2441.478,0.15,6.854898163583605
2441.6,0.15,6.871790844665432
2441.713,0.15,6.892517821600206
2441.814,0.15,6.907316499576843
2441.918,0.15,6.917813342360233
2442.019,0.15,6.936899416339537
2442.119,0.15,6.951682709062261
2442.222,0.15,6.966468462714414
2442.342,0.15,6.981251295935014
2442.446,0.15,6.998993475691321
2442.554,0.15,7.016733939953315
2442.657,0.15,7.031512894246056
2442.759,0.15,7.046288640217018
2442.863,0.15,7.060473647592495
2442.966,0.15,7.075841847010916
2443.069,0.15,7.092244537871497
2443.17,0.15,7.105399659345698
2443.271,0.15,7.113379872245263
2443.377,0.15,7.137875309020183
2443.481,0.15,7.151909694104964
2443.592,0.15,7.1700512348638155
2443.698,0.15,7.184680739291927
2443.799,0.15,7.198913480546746
2443.9,0.15,7.214340549025811
2444.001,0.15,7.2291739144191665
2444.162,0.15,7.242190184140807
2444.264,0.15,7.267642235318287
2444.365,0.15,7.278760961824592
2444.47,0.15,7.299182278635956
2444.572,0.15,7.313833795000096
2444.681,0.15,7.3268537666618325
2444.807,0.15,7.344604375763224
2444.918,0.15,7.365318281923555
2445.027,0.15,7.380120222105693
2445.13,0.15,7.394316832894119
2445.301,0.15,7.412803414123781
2445.407,0.15,7.436302122458104
2445.523,0.15,7.4533037385682555
2445.634,0.15,7.468828052694841
2445.768,0.15,7.48361670678365
2445.87,0.15,7.506085281189943
2445.973,0.15,7.522053282595404
2446.079,0.15,7.5368351296881535
2446.199,0.15,7.541481781211678
2446.374,0.15,7.580944849328992
2446.478,0.15,7.593729803751996
2446.582,0.15,7.60779197120605
2446.684,0.15,7.625259959861298
2446.784,0.15,7.640050235158721
2446.885,0.15,7.654851604476762
2446.993,0.15,7.672604170213193
2447.097,0.15,7.686675578609297
2447.2,0.15,7.702207056623843
2447.307,0.15,7.716259776104123
2447.417,0.15,7.72882965669652
2447.523,0.15,7.749536833148812
2447.621,0.15,7.764331844668442
2447.724,0.15,7.779130136937044
2447.826,0.15,7.793923783844093
