t,xt,yt
2382.405,0,-0.00027086193444825186
2382.405,0,-0.00027086193444825186
2382.516,0,-0.0002575134425848884
2382.613,0,-0.0001942942728226921
2382.724,0,-0.00024560923053762375
2382.837,0,-0.00025540909925947315
2382.943,0,-0.00024848006320716756
2383.046,0,-0.0002541634380670562
2383.148,0,-0.0002468109122246703
2383.252,0,-0.00023485676762715523
2383.359,0,-0.0002524656265876494
2383.46,0,-0.0002438989056659615
2383.569,0,-0.0002481387931383856
2383.674,0,-0.00024029522127009233
2383.777,0,-0.0001959954302924944
2383.905,0,-0.0002709499448712005
2384.006,0,-0.0002592731157534439
2384.108,0,-0.00025857837687892523
2384.212,0,-0.0002548030852336449
2384.313,0,-0.00024568198113932276
2384.438,0,-0.0002606499854924661
2384.559,0,-0.0002573710157749425
2384.663,0,-0.00020651856279218982
2384.79,0,-0.0002469885198506096
2384.891,0,-0.00024474542832653113
2384.999,0,-0.00024412650566007964
2385.1,0,-0.0001902907262767422
2385.209,0,-0.00021710502768506
2385.317,0,-0.00018679347440508839
2385.419,0,-0.00023679314637359183
2385.522,0.3,-0.000236643819410797
2385.624,0.3,0.021008647596955303
2385.749,0.3,0.05032982836400705
2385.855,0.3,0.08672559249097712
2385.956,0.3,0.11650265436758675
2386.063,0.3,0.14502112715497306
2386.165,0.3,0.1738856132441858
2386.27,0.3,0.20456414147501262
2386.379,0.3,0.23553074187639766
2386.549,0.3,0.28820847046203135
2386.652,0.3,0.31580788968864826
2386.759,0.3,0.351944450528803
2386.861,0.3,0.3806543149934073
2386.964,0.3,0.40936215906361156
2387.065,0.3,0.43813225438665065
2387.169,0.3,0.4668225842030781
2387.282,0.3,0.49067356433834397
2387.407,0.3,0.5326044105355651
2387.511,0.3,0.5644660866376919
2387.627,0.3,0.5825067404963343
2387.731,0.3,0.6332885252412346
2387.861,0.3,0.669125628280481
2387.964,0.3,0.6938802599891672
2388.065,0.3,0.7225903639332817
2388.166,0.3,0.7554360125219006
2388.287,0.3,0.7729860861451767
2388.407,0.3,0.8258204296463569
2388.563,0.3,0.8728970042805823
2388.664,0.3,0.9021055108061353
2388.767,0.3,0.9277800889078518
2388.866,0.3,0.96048726005194
2388.972,0.3,0.9847171122701437
2389.102,0.3,1.013156159845715
2389.211,0.3,1.057001618782446
2389.312,0.3,1.0955030724216432
2389.418,0.3,1.1228060383945706
2389.519,0.3,1.152207379445785
2389.623,0.3,1.1837417616779569
2389.75,0.3,1.2191460708565143
2389.857,0.3,1.2530150236325566
2389.961,0.3,1.2839653871070562
2390.064,0.3,1.3131643354307836
2390.164,0.3,1.3412660410483885
2390.268,0.3,1.3722984762479582
2390.368,0.3,1.4021449019952692
2390.48,0.3,1.4317109932468264
2390.597,0.3,1.4730788442681082
2390.702,0.3,1.4984722526775358
2390.811,0.3,1.5322134262392018
2390.965,0.3,1.555614768980733
2391.085,0.3,1.6033186305997917
2391.191,0.3,1.6433340440451982
2391.308,0.3,1.6566800347773285
2391.405,0.3,1.7100171263823862
2391.516,0.3,1.7337346626880943
2391.617,0.3,1.775156783006583
2391.73,0.3,1.7958599531986577
2391.831,0.3,1.8343537257283495
2391.934,0.3,1.8639994446632395
2392.054,0.3,1.9054868362609219
2392.157,0.3,1.934274829150168
2392.263,0.3,1.9648104701901505
2392.367,0.3,1.9885408760125283
2392.471,0.3,2.026839888978536
2392.591,0.3,2.047913031321952
2392.693,0.3,2.0941525037549384
2392.799,0.3,2.122023142358075
2392.913,0.3,2.1487353429694345
2393.018,0.3,2.190257995675763
2393.19,0.3,2.237674456303288
2393.31,0.3,2.2723934793323246
2393.414,0.3,2.3050079628225504
2393.523,0.3,2.3384630869175536
2393.625,0.3,2.368047077832597
2393.733,0.3,2.3975824920362094
2393.831,0.3,2.4310173777950745
2393.932,0.3,2.4587958041071456
2394.057,0.3,2.488103353775016
2394.17,0.3,2.526929845618871
2394.276,0.3,2.5455987549935624
2394.379,0.3,2.56337982436245
2394.491,0.3,2.622612280933374
2394.596,0.3,2.658136774156293
2394.753,0.3,2.6700017299349357
2394.857,0.3,2.7348884482212084
2395.012,0.3,2.764799753173719
2395.119,0.3,2.8121980642719073
2395.228,0.3,2.8417422986377847
2395.332,0.3,2.876357941730952
2395.438,0.3,2.8852283154926543
2395.541,0.3,2.936498830924716
2395.644,0.3,2.9542475149156853
2395.757,0.3,3.0010251211453047
2395.866,0.3,3.0259082527510013
2395.96,0.3,3.054949960105266
2396.078,0.3,3.0888758617881944
2396.185,0.3,3.124586906045196
2396.289,0.3,-3.1288439877862095
2396.396,0.3,-3.099126591579997
2396.509,0.3,-3.06352522309958
2396.634,0.3,-3.0397644562266684
2396.759,0.3,-2.986424067808611
2396.864,0.3,-2.9591344859224384
2396.979,0.3,-2.927127797021824
