t,xt,yt
2419.926,0,7.885970175223927e-06
2419.926,0,7.885970175223927e-06
2420.048,0,9.10040315008713e-06
2420.15,0,1.0970250286431563e-05
2420.563,0,4.1345690781441625e-07
2420.729,0,8.042197654440827e-07
2420.838,0,3.818623199833893e-06
2420.953,0,4.548554458182393e-06
2421.058,0,5.756165346483428e-06
2421.157,0,6.639480777151667e-06
2421.259,0,7.817796438257514e-06
2421.38,0,8.801743351792492e-06
2421.489,0,1.0036190586746775e-05
2421.593,0,1.1541957326063097e-05
2421.693,0,1.2490180721861283e-05
2421.802,0,1.3144373130505926e-05
2421.906,0,1.2828928769007503e-05
2422.025,0,3.225917375186642e-06
2422.146,0,5.02638162884044e-06
2422.253,0,6.2250434771609e-06
2422.361,0,7.526592305907477e-06
2422.53,0,9.176074730717323e-06
2422.631,0,9.999345729237679e-06
2422.732,0,1.1461614164094299e-05
2422.895,0,1.2263000278780458e-05
2423.012,0,1.4185663369823706e-05
2423.117,0,1.5208829324542861e-05
2423.23,0,1.667806426514239e-05
2423.331,0,1.7894014043238576e-05
2423.436,0,1.884198787279692e-05
2423.542,0.3,2.0020245823736026e-05
2423.644,0.3,0.013102539516392916
2423.747,0.3,0.04425106967606142
2423.859,0.3,0.07331703422387373
2423.974,0.3,0.10817613229636173
2424.077,0.3,0.13722950519966273
2424.176,0.3,0.1662888011030199
2424.277,0.3,0.19534893797773664
2424.41,0.3,0.23603947703114064
2424.513,0.3,0.26510854531717654
2424.707,0.3,0.2941909378344214
2424.877,0.3,0.3349005031424217
2424.994,0.3,0.3988874337697923
2425.095,0.3,0.4338314773021233
2425.197,0.3,0.4620862364497352
2425.302,0.3,0.4920907617718664
2425.408,0.3,0.520054403655682
2425.52,0.3,0.5328677831381591
2425.626,0.3,0.5905247034504867
2425.73,0.3,0.6196471119988648
2425.842,0.3,0.6493488758456502
2425.953,0.3,0.6842914185780908
2426.103,0.3,0.713412818410517
2426.212,0.3,0.7600037517177695
2426.341,0.3,0.7830057840740392
2426.443,0.3,0.8240713243574341
2426.545,0.3,0.857856066069833
2426.651,0.3,0.8881381576620877
2426.751,0.3,0.9172549164349337
2426.884,0.3,0.9565584491801796
2426.992,0.3,0.9871358665824338
2427.093,0.3,1.0115912766370068
2427.195,0.3,1.0453638463287998
2427.296,0.3,1.074483935912273
2427.397,0.3,1.1036077121662253
2427.514,0.3,1.138560944835555
2427.632,0.3,1.1403084741988028
2427.75,0.3,1.2046853489384448
2427.865,0.3,1.238474334124397
2427.961,0.3,1.262064648208334
2428.065,0.3,1.2973082081055483
2428.17,0.3,1.3226535373876225
2428.272,0.3,1.3599472869332707
2428.376,0.3,1.3890772027254679
2428.477,0.3,1.4158759093404845
2428.587,0.3,1.4471984689243653
2428.69,0.3,1.4767456747722143
2428.802,0.3,1.5111206556906032
2428.907,0.3,1.5400006913896318
2429.011,0.3,1.5752973973651485
2429.114,0.3,1.6044732389106429
2429.217,0.3,1.6316188241772347
2429.316,0.3,1.6628327613988945
2429.416,0.3,1.690835980432675
2429.521,0.3,1.7153361846990105
2429.627,0.3,1.7465419186609499
2429.731,0.3,1.7795037997536096
2429.832,0.3,1.81451787683532
2429.938,0.3,1.8436943491572242
2430.043,0.3,1.8728722475036468
2430.148,0.3,1.9078836815415483
2430.261,0.3,1.9300592606764966
2430.363,0.3,1.9662331695323187
2430.528,0.3,1.995403963250227
2430.628,0.3,2.042082550123864
2430.732,0.3,2.070387981228523
2430.868,0.3,2.117948791256934
2430.946,0.3,2.1412957860911312
2431.055,0.3,2.1646437139112726
2431.158,0.3,2.199668963431625
2431.259,0.3,2.2288586831177684
2431.369,0.3,2.260675505061649
2431.485,0.3,2.2878221215676753
2431.578,0.3,2.322264185467295
2431.684,0.3,2.355543774707514
2431.78,0.3,2.380657247460405
2431.92,0.3,2.4040162823848386
2432.057,0.3,2.46239643628935
2432.157,0.3,2.4916069967543413
2432.259,0.3,2.5132306452693505
2432.365,0.3,2.5512141121913046
2432.465,0.3,2.5851068948997606
2432.569,0.3,2.612568846283169
2432.682,0.3,2.6435206597845617
2432.782,0.3,2.6701026845924134
2432.885,0.3,2.7019458285612745
2432.986,0.3,2.7311638586122946
2433.087,0.3,2.7662261113772955
2433.243,0.3,2.7779094171811507
2433.356,0.3,2.807106957413048
2433.473,0.3,2.877187362139999
2433.58,0.3,2.906402967714806
2433.683,0.3,2.934902640594111
2433.789,0.3,2.9702572839134627
2433.894,0.3,2.9992384053293906
2434.008,0.3,3.034159345985345
2434.109,0.3,3.062811746880902
2434.212,0.3,3.0920851966338843
2434.334,0.3,3.1192949585821244
2434.425,0.3,3.152626397092078
2434.527,0.3,3.1809939343793756
2434.659,0.3,3.2067201083405994
2434.768,0.3,3.254959742690107
2434.881,0.3,3.2798015172854087
2435.023,0.3,3.3148792345016154
2435.131,0.3,3.3611915696522887
2435.239,0.3,3.3901928680515265
2435.343,0.3,3.4194408010209894
2435.447,0.3,3.4489895233174623
2435.55,0.3,3.4829364686442816
2435.654,0.3,3.5092935246044368
2435.756,0.3,3.536519002276455
2435.859,0.3,3.5678380623840997
2435.961,0.3,3.6008930902978236
2436.067,0.3,3.635100227611904
2436.167,0.3,3.659374596824452
2436.274,0.3,3.6944644240139803
2436.38,0.3,3.723126971807069
2436.498,0.3,3.741255016246353
2436.634,0.3,3.799721129329304
2436.746,0.3,3.8348153769223914
2436.849,0.3,3.858211311829518
2436.951,0.3,3.8933220543859255
2437.074,0.3,3.9284235948775463
2437.175,0.3,3.957685661737427
2437.277,0.3,3.986951159351346
2437.38,0.3,4.016140792676579
2437.485,0.3,4.04968766327302
2437.587,0.3,4.074021180857245
2437.804,0.3,4.085742773614554
2437.91,0.3,4.173649531303019
2438.015,0.3,4.197666176378447
2438.116,0.3,4.232211048827089
2438.227,0.3,4.264994746085838
